"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"celkove_hodnotenie";"maturity";"testovanie9";"matematika";"vyucovaci_jazyk";"cudzie_jazyky";"mimoriadne_vysledky";"nezamestnanost_absolventov";"vysledky_inspekcie";"ucasti_na_sutaziach";"prijimanie_na_VS";"pedagogicky_zbor";"financne_zdroje"
"1";"Bratislavskı";"Bratislava I";"Krajskı úrad, Okresnı úrad";"ZŠ pre sluchovo postihnutıch i";"Slovenskı";"Špeciálna základná škola";"ZŠ s MŠi so SP";"Drotárska cesta 48";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;;;
"2";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Dubová 1";"Bratislava - Staré Mesto";"81104";"6,38870239257812";;"7,51664810180664";"6,89912185668945";"8,13417434692383";;"0";;"7,16350555419922";;;"3,81931495666504";"8,29805297851562"
"3";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s VJM";"Dunajská 13";"Bratislava - Staré Mesto";"81484";;;;;;;"3,08113613128662";;;;;"3,34930458068848";
"4";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Maïarskı";"Gymnázium";"Gymnázium s VJM";"Dunajská 13";"Bratislava - Staré Mesto";"81484";"6,27066879272461";"7,49621810913086";;"5,16035575866699";"7,41044998168945";"8,39214630126953";"3,66070327758789";"4,8953296661377";;;"6,85726547241211";"5,14502944946289";"2,67264347076416"
"5";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ strojnícka";"Fajnorovo nábreie 5";"Bratislava - Staré Mesto";"81475";"6,23676071166992";"7,81847305297852";;"4,70021286010742";"8,19613494873047";"7,46571502685547";"6,98369598388672";"4,82200355529785";"8,13386764526367";;"7,78966217041016";"4,9888973236084";"3,13381481170654"
"6";"Bratislavskı";"Bratislava I";"Súkromník";"ŠZŠ pre iakov s autizmom";"Slovenskı";"Špeciálna základná škola";"Súkr. ŠZŠ so ŠMŠ";"Galandova 7";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;
"7";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Taneèné konzervatórium";"Slovenskı";"Konzervatórium";"Taneèné  konzervatórium";"Gorazdova 20";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;;;
"8";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Grösslingová 18";"Bratislava - Staré Mesto";"81109";"7,97526245117187";"8,4509765625";;"7,46055145263672";"8,5682746887207";"8,92786178588867";"9,06614456176758";"6,17901840209961";"9,00668716430664";;"6,43985366821289";"0,961028671264648";"7,92425384521484"
"9";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Grösslingová 48";"Bratislava - Staré Mesto";"81109";"7,83479537963867";;"9,74352874755859";"9,71196594238281";"9,77509155273438";;"0";;"8,85019454956055";;;"3,27838363647461";"8,16369018554687"
"10";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Hlboká cesta 4";"Bratislava - Staré Mesto";"81104";"7,48789825439453";;"9,1583122253418";"8,86070251464844";"9,45592193603516";;"0";;"8,38636932373047";;;"2,86183242797852";"7,78612213134766"
