"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"Mat_SJ";"Mat_M";"Mat_MJ";"Mat_SJaSL";"Mat_AJB1";"Mat_AJB2";"Mat_AJC1";"Mat_NJB1";"Mat_NJB2";"Mat_NJC1";"T9_SJ";"T9_M";"T9_MJ";"T9_SJaSL";"riad_skoly";"podm_VaV";"VV_proces";"insp_9R_SJ";"insp_4R_Pri";"insp_9r_Fyz";"insp_9R_Pri";"ucasti";"Kom_M";"Kom_SJ";"mimo_vysl";"nezam";"nezam_okres";"prijati_VS";"uspesnost_VS";"poc_ucitelov";"IKT";"kval";"rozpocet";"vlastne_zdroje"
"1";"Bratislavskı";"Bratislava I";"Krajskı úrad, Okresnı úrad";"ZŠ pre sluchovo postihnutıch i";"Slovenskı";"Špeciálna základná škola";"ZŠ s MŠi so SP";"Drotárska cesta 48";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;"49,8";"45,6";;;;;;;;;;;;;;;;;;"20,9877";;;;
"2";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Dubová 1";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;"67,2";"56,2";;;"64,77";"91,84";"79,49";;;;;;;;;;;;;"7,83699";;;;
"3";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s VJM";"Dunajská 13";"Bratislava - Staré Mesto";"81484";;;;;;;;;;;;"62,5";"64,8";"75,5";;;;;;;;;;;;;;;;"6,69856";;;;
"4";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Maïarskı";"Gymnázium";"Gymnázium s VJM";"Dunajská 13";"Bratislava - Staré Mesto";"81484";;"45,4";"80,3";"64,8";;"69,6";;;;;;;;;;;;;;;;;;;;;;;;"17,8571";;;;
"5";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ strojnícka";"Fajnorovo nábreie 5";"Bratislava - Staré Mesto";"81475";"53,8";"30";;;"65,6";"77,8";;;;;;;;;"85,0992";"76,5625";"84,4086";;;;;;;;;;;;;"11,6071";;;;
"6";"Bratislavskı";"Bratislava I";"Súkromník";"ŠZŠ pre iakov s autizmom";"Slovenskı";"Špeciálna základná škola";"Súkr. ŠZŠ so ŠMŠ";"Galandova 7";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"16,6667";;;;
"7";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Taneèné konzervatórium";"Slovenskı";"Konzervatórium";"Taneèné  konzervatórium";"Gorazdova 20";"Bratislava - Staré Mesto";"81104";"54,5";;;;"60,8";"71,3";;;;;;;;;;;;;;;;;;;;;;;;"24,4604";;;;
"8";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Grösslingová 18";"Bratislava - Staré Mesto";"81109";"71,3";"70,2";;;;"74,2";;;"61";;;;;;"93,1187";"88,9323";"92,4671";;;;;;;;;;;;;"7,84615";;;;
"9";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Grösslingová 48";"Bratislava - Staré Mesto";"81109";;;;;;;;;;;"76,6";"69,3";;;"95,1807";"94,1176";"80,4464";;;;;;;;;;;;;"6,53266";;;;
"10";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Hlboká cesta 4";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;"77,3";"77,4";;;"79,75";"85,75";"92,75";;;;;;;;;;;;;"6,79348";;;;
"13";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Jelenia 16";"Bratislava - Staré Mesto";"81105";;;;;;;;;;;"55,3";"47,8";;;;;;;;;;;;;;;;;;"11,3971";;;;
"14";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium Matky Alexie";"Jesenského 4/A";"Bratislava - Staré Mesto";"81102";"73,4";"65,2";;;;"70,6";;;"73,1";;;;;;"92,9134";"90,411";"82,48";;;;;;;;;;;;;"8,62832";;;;
"16";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Jesenského 6";"Bratislava - Staré Mesto";"81101";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6,81818";;;;
"17";"Bratislavskı";"Bratislava I";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špeciálna ZŠ s MŠ";"Karpatská 1";"Bratislava - Staré Mesto";"81105";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"21,875";;;;
