"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"celkove_hodnotenie";"maturity";"testovanie9";"matematika";"vyucovaci_jazyk";"cudzie_jazyky";"mimoriadne_vysledky";"nezamestnanost_absolventov";"vysledky_inspekcie";"ucasti_na_sutaziach";"prijimanie_na_VS";"pedagogicky_zbor";"financne_zdroje"
"1";"Bratislavskı";"Bratislava I";"Krajskı úrad, Okresnı úrad";"ZŠ pre sluchovo postihnutıch i";"Slovenskı";"Špeciálna základná škola";"ZŠ s MŠi so SP";"Drotárska cesta 48";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;;;
"2";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Dubová 1";"Bratislava - Staré Mesto";"81104";"7,01435470581055";;"8,25894317626953";"7,69169464111328";"8,82619171142578";;"0,360860276222229";;"6,13580741882324";"2,77777767181396";;"3,51503257751465";"7,91250076293945"
"3";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s VJM";"Dunajská 13";"Bratislava - Staré Mesto";"81484";;;;;;;"5,40534057617188";;"7,21769409179687";"0";;"3,46294822692871";
"4";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Maïarskı";"Gymnázium";"Gymnázium s VJM";"Dunajská 13";"Bratislava - Staré Mesto";"81484";"5,51962738037109";"7,14919815063477";;"7,40229797363281";"6,7603271484375";"7,46400756835938";"1,31675100326538";"4,13038330078125";;"5";"7,62565689086914";"3,80910301208496";"2,30890483856201"
"5";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ strojnícka";"Fajnorovo nábreie 5";"Bratislava - Staré Mesto";"81475";"6,34866981506348";"8,02483139038086";;"8,43373489379883";"7,29701461791992";"8,81491928100586";"4,87161483764648";"5,30315170288086";"8,07611770629883";"0";"6,65762481689453";"5,25750617980957";"2,38963947296143"
"6";"Bratislavskı";"Bratislava I";"Súkromník";"ŠZŠ pre iakov s autizmom";"Slovenskı";"Špeciálna základná škola";"Súkr. ŠZŠ so ŠMŠ";"Galandova 7";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;
"7";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Taneèné konzervatórium";"Slovenskı";"Konzervatórium";"Taneèné  konzervatórium";"Gorazdova 20";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;;;
"8";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Grösslingová 18";"Bratislava - Staré Mesto";"81109";"7,82981185913086";"7,6570198059082";;"7,18868942260742";"7,93765640258789";"7,67035751342773";"9,99999847412109";"6,94240188598633";"9,12593460083008";"10";"4,79865264892578";"0,99911642074585";"7,46856002807617"
"9";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Grösslingová 48";"Bratislava - Staré Mesto";"81109";"7,77551574707031";;"9,65203552246094";"9,63284072875977";"9,67122955322266";;"0";;"8,87004241943359";"6,11111106872559";;"3,01540508270264";"8,00030975341797"
"10";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Hlboká cesta 4";"Bratislava - Staré Mesto";"81104";"7,39604110717773";;"8,69608306884766";"8,25067672729492";"9,14148864746094";;"0,910352516174316";;"8,46176223754883";"5,55555572509766";;"2,78523654937744";"7,25121765136719"
