"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"Mat_SJ";"Mat_M";"Mat_MJ";"Mat_SJaSL";"Mat_AJB1";"Mat_AJB2";"Mat_NJB1";"Mat_NJB2";"T9_SJ";"T9_M";"T9_MJ";"T9_SJaSL";"riad_skoly";"podm_VaV";"VV_proces";"insp_9R_SJ";"insp_4R_Pri";"insp_9r_Fyz";"insp_9R_Pri";"ucasti";"Kom_M";"Kom_SJ";"mimo_vysl";"nezam";"nezam_okres";"prijati_VS";"uspesnost_VS";"poc_ucitelov";"IKT";"kval";"rozpocet";"vlastne_zdroje"
"1";"Bratislavskı";"Bratislava I";"Krajskı úrad, Okresnı úrad";"ZŠ pre sluchovo postihnutıch i";"Slovenskı";"Špeciálna základná škola";"ZŠ s MŠi so SP";"Drotárska cesta 48";"Bratislava - Staré Mesto";"81104";;;;;;;;;"9";"9";;;;;;;;;;;;;"82";;;;;"82";"18";;;
"2";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Dubová 1";"Bratislava - Staré Mesto";"81104";;;;;;;;;"17";"17";;;"2015/16";"2015/16";"2015/16";;;;;;;;"270";;;;;"270";"21";;;
"3";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s VJM";"Dunajská 13";"Bratislava - Staré Mesto";"81484";;;;;;;;;;"13";"13";"13";;;;;;;;;;;"195";;;;;"195";"13";;;
"4";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Maïarskı";"Gymnázium";"Gymnázium s VJM";"Dunajská 13";"Bratislava - Staré Mesto";"81484";;"14";"44";"47";;"44";;;;;;;;;;;;;;;;;"180";;;;;"180";"32";;;
"5";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ strojnícka";"Fajnorovo nábreie 5";"Bratislava - Staré Mesto";"81475";"33";;;;"26";;;;;;;;"2007/08";"2007/08";"2007/08";;;;;;;;"202";;;;;"202";"24";;;
"6";"Bratislavskı";"Bratislava I";"Súkromník";"ŠZŠ pre iakov s autizmom";"Slovenskı";"Špeciálna základná škola";"Súkr. ŠZŠ so ŠMŠ";"Galandova 7";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;"4";;;;;"4";"1";;;
"7";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Taneèné konzervatórium";"Slovenskı";"Konzervatórium";"Taneèné  konzervatórium";"Gorazdova 20";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;;;;;;;;;;;;;"123";;;;;"123";"36";;;
"8";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Grösslingová 18";"Bratislava - Staré Mesto";"81109";"87";"44";;;;"82";;"5";;;;;"2007/08";"2007/08";"2007/08";;;;;;;;"591";;;;;"591";"46";;;
"9";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Grösslingová 48";"Bratislava - Staré Mesto";"81109";;;;;;;;;"22";"22";;;"2014/15";"2014/15";"2014/15";;;;;;;;"393";;;;;"393";"26";;;
"10";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Hlboká cesta 4";"Bratislava - Staré Mesto";"81104";;;;;;;;;"22";"22";;;"2007/08";"2007/08";"2007/08";;;;;;;;"359";;;;;"359";"28";;;
"13";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Jelenia 16";"Bratislava - Staré Mesto";"81105";;;;;;;;;"22";"22";;;;;;;;;;;;;"255";;;;;"255";"31";;;
"14";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium Matky Alexie";"Jesenského 4/A";"Bratislava - Staré Mesto";"81102";"45";"17";;;;"39";;"6";;;;;"2013/14";"2013/14";"2013/14";;;;;;;;"416";;;;;"416";"38";;;
"16";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Jesenského 6";"Bratislava - Staré Mesto";"81101";;;;;;;;;;;;;;;;;;;;;;;"550";;;;;"550";;;;
